[2023-07-04 21:21:58] [INFO    ] discord.client: logging in using static token
[2023-07-04 21:21:58] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2023-07-04 21:21:58] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (f7ead6a7674e5a323d93786263b66cb1).
[2023-07-04 21:21:58] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1125050254396498030', 'username': 'Ведущий', 'global_name': None, 'avatar': None, 'discriminator': '2544', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'banner_color': None, 'accent_color': None, 'bio': '', 'locale': 'en-US', 'mfa_enabled': False, 'premium_type': 0, 'linked_users': [], 'avatar_decoration': None, 'email': None, 'verified': True}
[2023-07-04 21:22:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2023-07-04 21:22:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1125050254396498030', 'name': 'Discord Mini Games', 'icon': None, 'description': 'Mafia game in dev', 'type': None, 'bot': {'id': '1125050254396498030', 'username': 'Ведущий', 'avatar': None, 'discriminator': '2544', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration': None, 'display_name': None, 'banner_color': None}, 'summary': '', 'bot_public': False, 'bot_require_code_grant': False, 'verify_key': 'fb8ab6aad719626404224934436dd2a1a4785f5d95c5d325e71ee66b18b4df8f', 'flags': 565248, 'hook': True, 'owner': {'id': '279925639425949696', 'username': 'exaliffeed', 'avatar': 'f6e6067d6122528aa3e62e762bea4a66', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Space', 'avatar_decoration': None, 'display_name': 'Space', 'banner_color': None}, 'team': None}
[2023-07-04 21:22:00] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2023-07-04 21:22:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-xfwm",{"micros":0.0}]']}}
[2023-07-04 21:22:00] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2023-07-04 21:22:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:22:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Ведущий', 'mfa_enabled': False, 'id': '1125050254396498030', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2544', 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '9bd5469f2d5492049e43606b3460d8b6', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1125051071077830686'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['russia', 'st-pete', 'stockholm', 'bucharest', 'frankfurt'], 'application': {'id': '1125050254396498030', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-b-xfwm",{"micros":146033,"calls":["id_created",{"micros":1616,"calls":[]},"session_lookup_time",{"micros":2163,"calls":[]},"session_lookup_finished",{"micros":19,"calls":[]},"discord-sessions-prd-2-40",{"micros":141938,"calls":["start_session",{"micros":115273,"calls":["discord-api-c875d9c47-4dpkh",{"micros":104471,"calls":["get_user",{"micros":35769},"get_guilds",{"micros":6015},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":9835},"authorized_ip_coro",{"micros":15}]}]},"starting_guild_connect",{"micros":52,"calls":[]},"presence_started",{"micros":254,"calls":[]},"guilds_started",{"micros":107,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":26195,"calls":[]},"connect_finished",{"micros":26201,"calls":[]},"build_ready",{"micros":19,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":27,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2023-07-04 21:22:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2023-07-04 21:22:00] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 9bd5469f2d5492049e43606b3460d8b6).
[2023-07-04 21:22:00] [DEBUG   ] discord.client: Dispatching event connect
[2023-07-04 21:22:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'application_id': None, 'channels': [{'version': 1688303477946, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Текстовые каналы', 'id': '1125051071623073844', 'flags': 0}, {'version': 1688310559372, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1125051071623073844', 'name': 'общее', 'last_message_id': '1125838871352062034', 'id': '1125051071623073845', 'flags': 0}, {'version': 1688303477972, 'type': 4, 'position': 3, 'permission_overwrites': [], 'name': 'Голосовые каналы', 'id': '1125051071623073847', 'flags': 0}, {'version': 1688303477984, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1125051071623073847', 'name': 'Лобби', 'last_message_id': None, 'id': '1125051071623073848', 'flags': 0, 'bitrate': 64000}, {'version': 1688303593099, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1125051071623073847', 'name': 'Городок', 'last_message_id': None, 'id': '1125051072071860274', 'flags': 0, 'bitrate': 64000}, {'version': 1688312444422, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '1125076757079412822', 'deny': '0', 'allow': '70904273435729'}, {'type': 0, 'id': '1125051071077830686', 'deny': '1024', 'allow': '0'}], 'parent_id': '1125051071623073844', 'name': 'команды-ведущему', 'last_message_id': '1125145657351602226', 'id': '1125051374380519564', 'flags': 0}, {'version': 1688312416514, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1125076757079412822', 'deny': '0', 'allow': '70904273435729'}, {'type': 0, 'id': '1125054435345834036', 'deny': '70489809088529', 'allow': '277025393728'}, {'type': 0, 'id': '1125051071077830686', 'deny': '1024', 'allow': '0'}], 'parent_id': '1125051071623073844', 'name': 'игра', 'last_message_id': '1125145644592533534', 'id': '1125051430651301988', 'flags': 0}], 'banner': None, 'application_command_counts': {}, 'splash': None, 'voice_states': [], 'stickers': [], 'public_updates_channel_id': None, 'afk_timeout': 300, 'joined_at': '2023-07-02T14:53:21.894000+00:00', 'mfa_level': 0, 'guild_hashes': {'version': 1, 'roles': {'omitted': False, 'hash': 'DWyRgg'}, 'metadata': {'omitted': False, 'hash': 'aCpkBQ'}, 'channels': {'omitted': False, 'hash': 'W3TxFQ'}}, 'nsfw': False, 'hub_type': None, 'description': None, 'vanity_url_code': None, 'preferred_locale': 'en-US', 'rules_channel_id': None, 'latest_onboarding_question_id': None, 'emojis': [], 'id': '1125051071077830686', 'discovery_splash': None, 'nsfw_level': 0, 'premium_subscription_count': 0, 'member_count': 4, 'guild_scheduled_events': [], 'threads': [], 'system_channel_id': '1125051071623073845', 'region': 'deprecated', 'owner_id': '279925639425949696', 'embedded_activities': [], 'stage_instances': [], 'premium_progress_bar_enabled': False, 'max_members': 500000, 'afk_channel_id': None, 'max_stage_video_channel_users': 50, 'features': ['AUTO_MODERATION'], 'explicit_content_filter': 0, 'incidents_data': None, 'safety_alerts_channel_id': None, 'home_header': None, 'icon': None, 'presences': [{'user': {'id': '279925639425949696'}, 'status': 'online', 'client_status': {'desktop': 'online'}, 'broadcast': None, 'activities': []}, {'user': {'id': '1125050254396498030'}, 'status': 'online', 'client_status': {'web': 'online'}, 'broadcast': None, 'activities': []}], 'lazy': True, 'roles': [{'version': 1688303477934, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '137411140505153', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1125051071077830686', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1688482133743, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '0', 'name': 'Бодрый', 'mentionable': False, 'managed': False, 'id': '1125054435345834036', 'icon': None, 'hoist': False, 'flags': 0, 'color': 15844367}, {'version': 1688482174898, 'unicode_emoji': None, 'tags': {'bot_id': '1125050254396498030'}, 'position': 1, 'permissions': '111871012634623', 'name': 'Discord Mini Games', 'mentionable': False, 'managed': True, 'id': '1125076757079412822', 'icon': None, 'hoist': False, 'flags': 0, 'color': 3447003}], 'large': False, 'default_message_notifications': 0, 'premium_tier': 0, 'name': 'Сервер Мафия', 'verification_level': 0, 'unavailable': False, 'system_channel_flags': 0, 'members': [{'user': {'username': 'exaliffeed', 'public_flags': 0, 'id': '279925639425949696', 'global_name': 'Space', 'display_name': 'Space', 'discriminator': '0', 'bot': False, 'avatar_decoration': None, 'avatar': 'f6e6067d6122528aa3e62e762bea4a66'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-07-02T13:11:17.807000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'gniloygribfucker', 'public_flags': 0, 'id': '458986787948331018', 'global_name': 'ГНИЛОЙ ГРИБ-ЕБУН', 'display_name': 'ГНИЛОЙ ГРИБ-ЕБУН', 'discriminator': '0', 'bot': False, 'avatar_decoration': None, 'avatar': '77678d92307e95db3b6b3e09f7e4f4f5'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-07-03T17:22:33.921387+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'whoiam1234', 'public_flags': 0, 'id': '463046473609641995', 'global_name': 'who i am', 'display_name': 'who i am', 'discriminator': '0', 'bot': False, 'avatar_decoration': None, 'avatar': '6855d9d93b7d78db1766f6e086a9669d'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-07-02T20:00:02.408201+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, {'user': {'username': 'Ведущий', 'public_flags': 0, 'id': '1125050254396498030', 'global_name': None, 'display_name': None, 'discriminator': '2544', 'bot': True, 'avatar_decoration': None, 'avatar': None}, 'roles': ['1125076757079412822'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-07-02T14:53:21.894000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}], 'max_video_channel_users': 25}}
[2023-07-04 21:22:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2023-07-04 21:22:00] [DEBUG   ] discord.client: Dispatching event guild_available
[2023-07-04 21:22:02] [DEBUG   ] discord.client: Dispatching event ready
[2023-07-04 21:22:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 3, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2023-07-04T17:22:11.240000+00:00', 'referenced_message': None, 'pinned': False, 'nonce': '1125838980869259264', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-07-02T13:11:17.807000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'id': '1125838985583939644', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '/online', 'components': [], 'channel_id': '1125051071623073845', 'author': {'username': 'exaliffeed', 'public_flags': 0, 'id': '279925639425949696', 'global_name': 'Space', 'discriminator': '0', 'avatar_decoration': None, 'avatar': 'f6e6067d6122528aa3e62e762bea4a66'}, 'attachments': [], 'guild_id': '1125051071077830686'}}
[2023-07-04 21:22:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2023-07-04 21:22:10] [DEBUG   ] discord.client: Dispatching event message
[2023-07-04 21:22:10] [DEBUG   ] discord.client: Dispatching event command
[2023-07-04 21:22:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2023-07-04T17:22:11.519000+00:00', 'referenced_message': None, 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1125076757079412822'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-07-02T14:53:21.894000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'id': '1125838986754146324', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Онлайн', 'description': '1. Space (exaliffeed)\n2. None (Ведущий)', 'color': 16776960}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_id': '1125051071623073845', 'author': {'username': 'Ведущий', 'public_flags': 0, 'id': '1125050254396498030', 'global_name': None, 'discriminator': '2544', 'bot': True, 'avatar_decoration': None, 'avatar': None}, 'attachments': [], 'guild_id': '1125051071077830686'}}
[2023-07-04 21:22:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2023-07-04 21:22:10] [DEBUG   ] discord.client: Dispatching event message
[2023-07-04 21:22:10] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1125051071623073845/messages with {"embeds":[{"color":16776960,"type":"rich","description":"\n1. Space (exaliffeed)\n2. None (\u0412\u0435\u0434\u0443\u0449\u0438\u0439)","title":"\u041e\u043d\u043b\u0430\u0439\u043d"}],"content":null,"components":[],"tts":false} has returned 200
[2023-07-04 21:22:10] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (1d3c67957bcdccc6709861c232df8529).
[2023-07-04 21:22:10] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1125051071623073845/messages has received {'id': '1125838986754146324', 'type': 0, 'content': '', 'channel_id': '1125051071623073845', 'author': {'id': '1125050254396498030', 'username': 'Ведущий', 'global_name': None, 'avatar': None, 'discriminator': '2544', 'public_flags': 0, 'bot': True, 'avatar_decoration': None}, 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'Онлайн', 'description': '1. Space (exaliffeed)\n2. None (Ведущий)', 'color': 16776960}], 'mentions': [], 'mention_roles': [], 'pinned': False, 'mention_everyone': False, 'tts': False, 'timestamp': '2023-07-04T17:22:11.519000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'referenced_message': None}
[2023-07-04 21:22:10] [DEBUG   ] discord.client: Dispatching event command_completion
[2023-07-04 21:22:41] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:22:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:23:23] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:23:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:24:04] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:24:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:24:45] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:24:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:25:26] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:25:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:26:08] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:26:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:26:49] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2023-07-04 21:26:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2023-07-04 21:27:30] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
